OxigenEvent;1;1;1
TempEvent;1;1;1
TrafficJamEvent;1;1;
OxigenEvent;2;2;2
TempEvent;2;2;2
TrafficJamEvent;2;2;
OxigenEvent;3;3;3
TempEvent;3;3;3
TrafficJamEvent;3;3;
OxigenEvent;4;4;4
TempEvent;4;4;4
TrafficJamEvent;4;4;
OxigenEvent;5;5;5
TempEvent;5;5;5
TrafficJamEvent;5;5;
OxigenEvent;6;6;6
TempEvent;6;6;6
TrafficJamEvent;6;6;
OxigenEvent;7;7;7
TempEvent;7;7;7
TrafficJamEvent;7;7;
OxigenEvent;8;8;8
TempEvent;8;8;8
TrafficJamEvent;8;8;
OxigenEvent;9;9;9
TempEvent;9;9;9
TrafficJamEvent;9;9;
OxigenEvent;10;10;10
TempEvent;10;10;10
TrafficJamEvent;10;10;
OxigenEvent;11;11;11
TempEvent;11;11;11
TrafficJamEvent;11;11;
OxigenEvent;12;12;12
TempEvent;12;12;12
TrafficJamEvent;12;12;
OxigenEvent;13;13;13
TempEvent;13;13;13
TrafficJamEvent;13;13;
OxigenEvent;14;14;14
TempEvent;14;14;14
TrafficJamEvent;14;14;
OxigenEvent;15;15;15
TempEvent;15;15;15
TrafficJamEvent;15;15;
OxigenEvent;16;16;16
TempEvent;16;16;16
TrafficJamEvent;16;16;
OxigenEvent;17;17;17
TempEvent;17;17;17
TrafficJamEvent;17;17;
OxigenEvent;18;18;18
TempEvent;18;18;18
TrafficJamEvent;18;18;
OxigenEvent;19;19;19
TempEvent;19;19;19
TrafficJamEvent;19;19;
OxigenEvent;20;20;20
TempEvent;20;20;20
TrafficJamEvent;20;20;
OxigenEvent;21;21;21
TempEvent;21;21;21
TrafficJamEvent;21;21;
OxigenEvent;22;22;22
TempEvent;22;22;22
TrafficJamEvent;22;22;
OxigenEvent;23;23;23
TempEvent;23;23;23
TrafficJamEvent;23;23;
OxigenEvent;24;24;24
TempEvent;24;24;24
TrafficJamEvent;24;24;
OxigenEvent;25;25;25
TempEvent;25;25;25
TrafficJamEvent;25;25;
OxigenEvent;26;26;26
TempEvent;26;26;26
TrafficJamEvent;26;26;
OxigenEvent;27;27;27
TempEvent;27;27;27
TrafficJamEvent;27;27;
OxigenEvent;28;28;28
TempEvent;28;28;28
TrafficJamEvent;28;28;
OxigenEvent;29;29;29
TempEvent;29;29;29
TrafficJamEvent;29;29;
OxigenEvent;30;30;30
TempEvent;30;30;30
TrafficJamEvent;30;30;
OxigenEvent;31;31;31
TempEvent;31;31;31
TrafficJamEvent;31;31;
OxigenEvent;32;32;32
TempEvent;32;32;32
TrafficJamEvent;32;32;
OxigenEvent;33;33;33
TempEvent;33;33;33
TrafficJamEvent;33;33;
OxigenEvent;34;34;34
TempEvent;34;34;34
TrafficJamEvent;34;34;
